File name of aligned model	 GA341	 zDOPE 
1od6_clean_pdb__.BL00010001.pdb	1.00000	-1.53297
1od6_clean_pdb__.BL00020001.pdb	1.00000	-1.50802
1od6_clean_pdb__.BL00030001.pdb	1.00000	-1.50624
1od6_clean_pdb__.BL00040001.pdb	1.00000	-1.49712
1od6_clean_pdb__.BL00050001.pdb	1.00000	-1.52312
